the_geom,SCHOOL_ID,SCHOOL_NM,SCH_ADDR,GRADE_CAT,GRADES,SCH_TYPE,X,Y
POINT (-87.57326751568073 41.73717393358173),609674,CHICAGO VOCATIONAL HS,"2100 E 87th St, 60617",HS,"9, 10, 11, 12",District,-87.5732675156,41.7371739343
POINT (-87.61763743460318 41.84022557168194),609676,DUNBAR HS,"3000 S King Dr, 60616",HS,"9, 10, 11, 12",District,-87.6176374351,41.8402255721
POINT (-87.62767532291659 41.87306592282553),609678,JONES HS,"700 S State St, 60605",HS,"9, 10, 11, 12",District,-87.6276753225,41.8730659236
POINT (-87.76104831561555 41.92005939899792),609679,PROSSER HS,"2148 N Long Ave, 60639",HS,"9, 10, 11, 12",District,-87.7610483155,41.9200594001
POINT (-87.6353847656341 41.90157516912679),609680,PAYTON HS,"1034 N Wells St, 60610",HS,"9, 10, 11, 12",District,-87.6353847656,41.9015751701
POINT (-87.66227784587741 41.80288137497483),609682,RICHARDS HS,"5009 S Laflin St, 60609",HS,"9, 10, 11, 12",District,-87.6622778453,41.8028813757
POINT (-87.73523755588572 41.91167369206698),609691,NORTH-GRAND HS,"4338 W Wabansia Ave, 60639",HS,"9, 10, 11, 12",District,-87.7352375559,41.9116736928
POINT (-87.63541036888441 41.74578123023072),609692,SIMEON HS,"8147 S Vincennes Ave, 60620",HS,"9, 10, 11, 12",District,-87.6354103687,41.7457812307
POINT (-87.70733230830211 41.88997720311543),609693,GEORGE WESTINGHOUSE HS,"3223 W Franklin Blvd, 60624",HS,"9, 10, 11, 12",District,-87.7073323085,41.8899772037
POINT (-87.7244704643747 41.79146390854953),609694,HANCOCK HS,"4034 W 56th St, 60629",HS,"9, 10, 11, 12",District,-87.7244704648,41.7914639094
POINT (-87.67948421494859 41.97506725585589),609695,AMUNDSEN HS,"5110 N Damen Ave, 60625",HS,"9, 10, 11, 12",District,-87.6794842151,41.975067257
POINT (-87.72109744629778 41.749375609339616),609698,BOGAN HS,"3939 W 79th St, 60652",HS,"9, 10, 11, 12",District,-87.7210974458,41.7493756101
POINT (-87.68197316226693 41.87694229995243),609702,CRANE HS,"2245 W Jackson Blvd, 60612",HS,12,District,-87.6819731621,41.8769423008
POINT (-87.70870563225235 41.84855987384877),609704,FARRAGUT HS,"2345 S Christiana Ave, 60623",HS,"PK, 9, 10, 11, 12",District,-87.7087056321,41.8485598751
POINT (-87.63757205080117 41.68995072454672),609705,FENGER HS,"11220 S Wallace St, 60628",HS,"9, 10, 11, 12",District,-87.6375720507,41.6899507254
POINT (-87.63715271773849 41.7697137956223),609707,ROBESON HS,"6835 S Normal Blvd, 60621",HS,"9, 10, 11, 12",District,-87.6371527175,41.769713796
POINT (-87.6889539419451 41.79101283821026),609709,GAGE PARK HS,"5630 S Rockwell St, 60629",HS,"9, 10, 11, 12",District,-87.6889539422,41.7910128392
POINT (-87.6206234362719 41.71837234558635),609710,HARLAN HS,"9652 S Michigan Ave, 60628",HS,"7, 8, 9, 10, 11, 12",District,-87.6206234365,41.7183723464
POINT (-87.6690892964138 41.77512408303257),609711,HARPER HS,"6520 S Wood St, 60636",HS,"9, 10, 11, 12",District,-87.669089296,41.7751240841
POINT (-87.60172726636009 41.75374795516494),609712,HIRSCH HS,"7740 S Ingleside Ave, 60619",HS,"9, 10, 11, 12",District,-87.6017272659,41.7537479561
POINT (-87.58661500994783 41.78225692669282),609713,HYDE PARK HS,"6220 S Stony Island Ave, 60637",HS,"9, 10, 11, 12",District,-87.5866150102,41.7822569276
POINT (-87.69463865990906 41.81872906307833),609715,KELLY HS,"4136 S California Ave, 60632",HS,"9, 10, 11, 12",District,-87.6946386599,41.8187290641
POINT (-87.73599882158966 41.92791840231072),609716,KELVYN PARK HS,"4343 W Wrightwood Ave, 60639",HS,"7, 8, 9, 10, 11, 12",District,-87.735998822,41.9279184034
POINT (-87.7808397551086 41.7899612521533),609718,KENNEDY HS,"6325 W 56th St, 60638",HS,"9, 10, 11, 12",District,-87.7808397556,41.7899612525
POINT (-87.66895268958682 41.95476406721259),609719,LAKE VIEW HS,"4015 N Ashland Ave, 60613",HS,"9, 10, 11, 12",District,-87.6689526896,41.9547640678
POINT (-87.69101262674111 41.94664457419042),609720,LANE HS,"2501 W Addison St, 60618",HS,"7, 8, 9, 10, 11, 12",District,-87.6910126273,41.9466445746
POINT (-87.69989559044011 41.870938955765155),609722,MANLEY HS,"2935 W Polk St, 60612",HS,"9, 10, 11, 12",District,-87.6998955901,41.8709389569
POINT (-87.70805006977712 41.878444085129374),609723,MARSHALL HS,"3250 W Adams St, 60624",HS,"9, 10, 11, 12",District,-87.70805007,41.8784440859
POINT (-87.7024963956971 41.98758868185385),609724,MATHER HS,"5835 N Lincoln Ave, 60659",HS,"9, 10, 11, 12",District,-87.7024963959,41.9875886824
POINT (-87.66565754522058 41.6920350088894),609725,MORGAN PARK HS,"1744 W Pryor Ave, 60643",HS,"7, 8, 9, 10, 11, 12",District,-87.665657545,41.6920350093
POINT (-87.61635260657202 41.692762528429355),609726,BROOKS HS,"250 E 111th St, 60628",HS,"9, 10, 11, 12",District,-87.616352607,41.6927625288
POINT (-87.61979634572873 41.82387996738068),609727,PHILLIPS HS,"244 E Pershing Rd, 60653",HS,"9, 10, 11, 12",District,-87.6197963459,41.8238799686
POINT (-87.71481861559978 41.96482788378516),609728,ROOSEVELT HS,"3436 W Wilson Ave, 60625",HS,"9, 10, 11, 12",District,-87.7148186159,41.9648278847
POINT (-87.73561211048235 41.94636454274745),609729,SCHURZ HS,"3601 N Milwaukee Ave, 60641",HS,"9, 10, 11, 12",District,-87.7356121102,41.9463645434
POINT (-87.66713618982065 41.98902853847887),609730,SENN HS,"5900 N Glenwood Ave, 60660",HS,"9, 10, 11, 12",District,-87.6671361897,41.989028539
POINT (-87.78351523288265 41.93563358725084),609732,STEINMETZ COLLEGE PREP HS,"3030 N Mobile Ave, 60634",HS,"9, 10, 11, 12",District,-87.783515233,41.935633588
POINT (-87.66919214534073 42.002687558010145),609733,SULLIVAN HS,"6631 N Bosworth Ave, 60626",HS,"9, 10, 11, 12",District,-87.6691921456,42.002687559
POINT (-87.79154724941422 41.98296098619859),609734,TAFT HS,"6530 W Bryn Mawr Ave, 60631",HS,"7, 8, 9, 10, 11, 12",District,-87.7915472489,41.9829609866
POINT (-87.64296648354815 41.80751007096626),609735,TILDEN HS,"4747 S Union Ave, 60609",HS,"9, 10, 11, 12",District,-87.6429664837,41.8075100717
POINT (-87.6119307278617 41.80207723336637),609736,DYETT HS,"555 E 51st St, 60615",HS,12,District,-87.6119307284,41.8020772346
POINT (-87.71338625328654 41.97318504807329),609737,VON STEUBEN HS,"5039 N Kimball Ave, 60625",HS,"9, 10, 11, 12",District,-87.7133862533,41.9731850486
POINT (-87.64600935976243 41.91826831075271),609738,LINCOLN PARK HS,"2001 N Orchard St, 60614",HS,"9, 10, 11, 12",District,-87.6460093598,41.9182683117
POINT (-87.53757030027741 41.688136935625785),609739,WASHINGTON HS,"3535 E 114th St, 60617",HS,"9, 10, 11, 12",District,-87.5375703001,41.6881369364
POINT (-87.66748286896365 41.89899470698043),609740,WELLS HS,"936 N Ashland Ave, 60622",HS,"9, 10, 11, 12",District,-87.6674828687,41.8989947082
POINT (-87.71801374323086 41.780526386627955),609741,HUBBARD HS,"6200 S Hamlin Ave, 60629",HS,"9, 10, 11, 12",District,-87.7180137434,41.7805263875
POINT (-87.72238621544285 41.98297252121619),609744,NORTHSIDE LEARNING HS,"3730 W Bryn Mawr Ave, 60659",HS,"9, 10, 11, 12",District,-87.7223862157,41.9829725222
POINT (-87.67594676756123 41.75985242841147),609745,SOUTHSIDE HS,"7342 S Hoyne Ave, 60636",HS,12,District,-87.6759467675,41.7598524288
POINT (-87.59042088945237 41.803772118508014),609746,KENWOOD HS,"5015 S Blackstone Ave, 60615",HS,"7, 8, 9, 10, 11, 12",District,-87.5904208897,41.8037721196
POINT (-87.6952610158806 41.84253334794401),609748,YORK HS,"2700 S California Ave, 60608",HS,"9, 10, 11, 12",District,-87.6952610155,41.8425333488
POINT (-87.70870780077357 41.98131528213096),609749,NORTHSIDE PREP HS,"5501 N Kedzie Ave, 60625",HS,"9, 10, 11, 12",District,-87.7087078003,41.981315283
POINT (-87.6687222293137 41.86436548208224),609750,SIMPSON HS,"1321 S Paulina St, 60608",HS,"7, 8, 9, 10, 11, 12",District,-87.6687222293,41.8643654832
POINT (-87.60387386164147 41.81367545211025),609751,KING HS,"4445 S Drexel Blvd, 60653",HS,"9, 10, 11, 12",District,-87.6038738615,41.8136754529
POINT (-87.71776967268775 41.69122074178622),609753,CHGO AG HS,"3857 W 111th St, 60655",HS,"9, 10, 11, 12",District,-87.7177696726,41.6912207422
POINT (-87.61921554223582 41.83055497708962),609754,CHGO MILITARY ACAD HS,"3519 S Giles Ave, 60653",HS,"9, 10, 11, 12",District,-87.6192155428,41.8305549779
POINT (-87.6642333434002 41.878602532328486),609755,YOUNG HS,"211 S Laflin St, 60607",HS,"7, 8, 9, 10, 11, 12",District,-87.6642333428,41.8786025335
POINT (-87.72204165467807 41.803060206697396),609756,CURIE HS,"4959 S Archer Ave, 60632",HS,"9, 10, 11, 12",District,-87.7220416549,41.8030602073
POINT (-87.68690614585311 41.9026257915793),609759,CLEMENTE HS,"1147 N Western Ave, 60622",HS,"9, 10, 11, 12",District,-87.6869061464,41.9026257922
POINT (-87.59062038515513 41.65628995142258),609760,CARVER MILITARY,"13100 S Doty Ave, 60627",HS,"9, 10, 11, 12",District,-87.5906203849,41.6562899518
POINT (-87.60121587665988 41.70665961641773),609761,CORLISS HS,"821 E 103rd St, 60628",HS,"9, 10, 11, 12",District,-87.6012158766,41.7066596171
POINT (-87.65374921077066 41.705858935588914),609762,JULIAN HS,"10330 S Elizabeth St, 60643",HS,"9, 10, 11, 12",District,-87.6537492111,41.7058589367
POINT (-87.66373244610855 41.85266659923651),609764,JUAREZ HS,"2150 S Laflin St, 60608",HS,"9, 10, 11, 12",District,-87.6637324466,41.8526666002
POINT (-87.76466317336318 41.960363795857305),609766,VAUGHN HS,"4355 N Linder Ave, 60641",HS,"9, 10",District,-87.7646631731,41.9603637969
POINT (-87.64124410920577 41.793553466470584),609768,HOPE PREP HS,"5515 S Lowe Ave, 60621",HS,"9, 10, 11, 12",District,-87.6412441097,41.7935534675
POINT (-87.62531481527424 41.84967541708467),609769,"GRAHAM,R HS","2347 S Wabash Ave, 60616",HS,"9, 10, 11, 12",District,-87.6253148158,41.849675418
POINT (-87.53297604181783 41.69873879907316),609772,ADDAMS,"10810 S Avenue H, 60617",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.5329760419,41.6987388003
POINT (-87.65622866744738 41.93412629749406),609773,AGASSIZ,"2851 N Seminary Ave, 60657",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.6562286679,41.9341262982
POINT (-87.65065315649788 41.83385390882868),609777,ARMOUR,"950 W 33rd Pl, 60608",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.6506531559,41.8338539099
POINT (-87.6844418273605 42.01014998373587),609779,"ARMSTRONG, G","2110 W Greenleaf Ave, 60645",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.6844418272,42.0101499844
POINT (-87.72174231678147 41.91604463306548),609780,MARINE ACAD AT AMES,"1920 N Hamlin Ave, 60647",HS,"7, 8, 9, 10, 11, 12",District,-87.7217423174,41.9160446336
POINT (-87.62578338561836 41.802112605750715),609781,ATTUCKS,"5055 S State St, 60609",ES,"2, 3, 4, 5, 6, 7, 8",District,-87.6257833861,41.8021126068
POINT (-87.68104105313787 41.94506222430422),609782,AUDUBON,"3500 N Hoyne Ave, 60618",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.6810410533,41.945062225
POINT (-87.68041755457105 41.867832284629486),609783,JEFFERSON ALT HS,"1100 S Hamilton Ave, 60612",HS,"6, 7, 8, 9, 10, 11, 12",District,-87.6804175551,41.8678322858
POINT (-87.59165381085134 41.74824699397219),609786,AVALON PARK,"8045 S Kenwood Ave, 60619",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.5916538107,41.7482469944
POINT (-87.65807422406259 41.705131011309035),609788,BARNARD,"10354 S Charles St, 60643",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.6580742242,41.7051310117
POINT (-87.73938835103296 41.93251058278424),609789,BARRY,"2828 N Kilbourn Ave, 60641",ES,"PK, K, 1, 2, 3, 4, 5, 6",District,-87.7393883513,41.9325105835
POINT (-87.67092712872531 41.75419384978611),609790,BARTON,"7650 S Wolcott Ave, 60620",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.6709271289,41.7541938505
POINT (-87.65353242019691 41.77424645004429),609791,BASS,"1140 W 66th St, 60621",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.6535324197,41.7742464509
POINT (-87.70215096179008 41.95821983888024),609792,BATEMAN,"4220 N Richmond St, 60618",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.7021509622,41.9582198394
POINT (-87.64745284245632 41.78494237979363),609793,NICHOLSON TECH ACAD,"6006 S Peoria St, 60621",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.6474528422,41.7849423802
POINT (-87.70930366577336 41.97150609649997),609794,"EDISON, T","4929 N Sawyer Ave, 60625",ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.709303666,41.971506097
POINT (-87.77041752738367 41.867812567517284),609795,"CLARK, G","1045 S Monitor Ave, 60644",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.7704175268,41.8678125685
POINT (-87.75756503918218 41.97239394466906),609796,BEAUBIEN,"5025 N Laramie Ave, 60630",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.7575650395,41.9723939452
POINT (-87.70585481200737 41.885321039474746),609797,BEIDLER,"3151 W Walnut St, 60612",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.7058548125,41.8853210405
POINT (-87.73401972967199 41.95893849363402),609798,BELDING,"4257 N Tripp Ave, 60641",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.7340197291,41.9589384942
POINT (-87.68601824433433 41.9495297982333),609799,BELL,"3730 N Oakley Ave, 60618",ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.6860182445,41.949529799
POINT (-87.61739045570121 41.71043494844108),609800,BENNETT,"10115 S Prairie Ave, 60628",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.6173904557,41.7104349496
POINT (-87.66496784467402 41.95078051805864),609803,BLAINE,"1420 W Grace St, 60613",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.6649678443,41.9507805187
POINT (-87.69746282205826 42.00341160727272),609804,BOONE,"6710 N Washtenaw Ave, 60645",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.697462822,42.0034116077
POINT (-87.66936564961709 41.74933916080359),609805,JOPLIN,"7931 S Honore St, 60620",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.6693656498,41.7493391618
POINT (-87.5571419710349 41.754365131246374),609806,BRADWELL,"7736 S Burnham Ave, 60649",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.5571419705,41.7543651322
POINT (-87.70873128447809 41.75345719265228),609807,HAMPTON,"3434 W 77th St, 60652",ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.7087312849,41.7534571934
POINT (-87.63363213619498 41.686659969507105),609808,HALEY,"11411 S Eggleston Ave, 60628",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.6336321364,41.6866599705
POINT (-87.69629419836866 41.9309660958041),609809,BRENTANO,"2723 N Fairfield Ave, 60647",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.6962941984,41.9309660966
POINT (-87.79866892056614 41.94911438626606),609810,BRIDGE,"3800 N New England Ave, 60634",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.79866892,41.9491143867
POINT (-87.56208422999353 41.699726221063116),609811,BRIGHT,"10740 S Calhoun Ave, 60617",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.5620842294,41.6997262217
POINT (-87.67068239048238 41.88299678413438),609812,"BROWN, W","54 N Hermitage Ave, 60612",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.6706823911,41.8829967847
POINT (-87.62174596836614 41.77162035907393),609813,BROWNELL,"6741 S Michigan Ave, 60637",ES,"PK, K, 1, 2, 3, 4, 5, 6",District,-87.6217459686,41.7716203601
POINT (-87.57607485712315 41.76084747994678),609815,BOUCHET,"7355 S Jeffery Blvd, 60649",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.5760748577,41.7608474811
POINT (-87.69655603218193 41.97575432973367),609817,BUDLONG,"2701 W Foster Ave, 60625",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.6965560322,41.9757543307
POINT (-87.78269957086374 41.91759813746918),609818,BURBANK,"2035 N Mobile Ave, 60639",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.7826995704,41.917598138
POINT (-87.6161405235956 41.79675956372592),609819,BURKE,"5356 S King Dr, 60615",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.6161405241,41.7967595641
POINT (-87.66985312412211 41.937937473581265),609820,BURLEY,"1630 W Barry Ave, 60657",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.6698531236,41.9379374742
POINT (-87.56713059136543 41.71440206175561),609821,BURNHAM,"9928 S Crandon Ave, 60617",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.5671305914,41.7144020628
POINT (-87.71492701415002 41.84544987856497),609826,CASTELLANOS,"2524 S Central Park Ave, 60623",ES,"4, 5, 6, 7, 8",District,-87.7149270137,41.8454498794
POINT (-87.60743532128883 41.72848063790991),609827,BURNSIDE,"650 E 91st Pl, 60619",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.6074353215,41.7284806386
POINT (-87.66866060377357 41.912357907271925),609828,BURR,"1621 W Wabansia Ave, 60622",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.668660604,41.9123579084
POINT (-87.69245662922816 41.82886790652319),609829,BURROUGHS,"3542 S Washtenaw Ave, 60632",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.6924566287,41.8288679076
POINT (-87.76560565853956 41.89766257161412),609830,BRUNSON,"932 N Central Ave, 60651",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.7656056579,41.8976625721
POINT (-87.7915444826982 41.79503096443681),609832,BYRNE,"5329 S Oak Park Ave, 60638",ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.7915444827,41.7950309652
POINT (-87.58072902767272 41.73922635448458),609833,CALDWELL,"8546 S Cregier Ave, 60617",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.5807290277,41.7392263556
POINT (-87.71731895269359 41.84369811757608),609834,LITTLE VILLAGE,"2620 S Lawndale Ave, 60623",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.7173189528,41.8436981186
POINT (-87.71792663520327 41.90379211711643),609835,CAMERON,"1234 N Monticello Ave, 60651",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.7179266353,41.9037921184
POINT (-87.8292957010156 41.948007027273874),609836,CANTY,"3740 N Panama Ave, 60634",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.8292957006,41.9480070282
POINT (-87.59079500925881 41.78336832270084),609837,CARNEGIE,"1414 E 61st Pl, 60637",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.5907950088,41.7833683238
POINT (-87.69601207513412 41.742516625773),609839,CARROLL,"2929 W 83rd St, 60652",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.6960120755,41.742516627
POINT (-87.68779954321866 41.79327214337314),609842,CARSON,"5516 S Maplewood Ave, 60629",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.6877995433,41.7932721444
POINT (-87.62245275191152 41.78982790446188),609844,CARTER,"5740 S Michigan Ave, 60637",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.6224527522,41.7898279056
POINT (-87.59951563220227 41.65370211546621),609845,"CARVER, G","901 E 133rd Pl, 60827",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.5995156323,41.6537021161
POINT (-87.60647384691308 41.65740496962151),609848,ALDRIDGE,"630 E 131st St, 60827",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.6064738472,41.6574049704
POINT (-87.70321548828544 41.6873470545929),609849,CASSELL,"11314 S Spaulding Ave, 60655",ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.7032154885,41.6873470555
POINT (-87.65097986936915 41.952809511187816),609850,GREELEY,"832 W Sheridan Rd, 60613",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.6509798691,41.9528095123
POINT (-87.6952593685406 41.866435251350666),609851,CHALMERS,"2745 W Roosevelt Rd, 60608",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.695259369,41.8664352526
POINT (-87.68326359190789 41.97589429991424),609852,CHAPPELL,"2135 W Foster Ave, 60625",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.6832635916,41.9758943009
POINT (-87.69456225149781 41.91799265283444),609853,CHASE,"2021 N Point St, 60647",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.6945622511,41.9179926533
POINT (-87.68893676245328 41.89671268815487),609854,CHOPIN,"2450 W Rice St, 60622",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.6889367623,41.8967126893
POINT (-87.68560700306816 41.80165862417512),609855,CHRISTOPHER,"5042 S Artesian Ave, 60632",ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.6856070028,41.8016586247
POINT (-87.54461359769068 41.654558148396525),609856,CLAY,"13231 S Burley Ave, 60633",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.5446135978,41.6545581489
POINT (-87.70644252546367 41.95204212082533),609857,CLEVELAND,"3121 W Byron St, 60618",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.7064425256,41.9520421219
POINT (-87.69835995432015 41.99254135950569),609859,CLINTON,"6110 N Fairfield Ave, 60659",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.6983599546,41.9925413605
POINT (-87.6808967872205 41.693026005644974),609861,CLISSOLD,"2350 W 110th Pl, 60643",ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.6808967872,41.6930260068
POINT (-87.56596977182141 41.74141280641801),609862,COLES,"8441 S Yates Blvd, 60617",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.5659697713,41.7414128074
POINT (-87.681938049323 41.89956577485199),609863,COLUMBUS,"1003 N Leavitt St, 60622",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.6819380494,41.8995657758
POINT (-87.65977458980146 41.74523702141981),609864,COOK,"8150 S Bishop St, 60620",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.6597745903,41.7452370218
POINT (-87.67776251685315 42.01708759096721),609865,JORDAN,"7414 N Wolcott Ave, 60626",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.6777625167,42.0170875916
POINT (-87.68376530076175 41.95555319469823),609866,COONLEY,"4046 N Leavitt St, 60618",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.6837653004,41.9555531951
POINT (-87.66722708445998 41.85603119195194),609867,COOPER,"1624 W 19th St, 60608",ES,"PK, K, 1, 2, 3, 4, 5",District,-87.6672270843,41.8560311925
POINT (-87.65716920537632 41.78468086054669),609869,LANGFORD,"6010 S Throop St, 60636",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.6571692056,41.7846808615
POINT (-87.73119286568263 41.84560242144964),609870,CORKERY,"2510 S Kildare Ave, 60623",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.7311928652,41.8456024226
POINT (-87.6856765978834 41.688190837411916),609871,VICK,"2554 W 113th St, 60655",ES,PK,District,-87.6856765975,41.6881908382
POINT (-87.65798012769622 41.85602872248889),609872,PEREZ,"1241 W 19th St, 60608",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.6579801282,41.8560287232
POINT (-87.71247015061276 41.85266348767926),609873,CROWN,"2128 S Saint Louis Ave, 60623",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.7124701511,41.8526634881
POINT (-87.84104144264982 41.973714776786956),609874,DIRKSEN,"8601 W Foster Ave, 60656",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.8410414421,41.9737147779
POINT (-87.70541291384822 41.923322716802375),609875,DARWIN,"3116 W Belden Ave, 60647",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.7054129132,41.9233227179
POINT (-87.70020216026171 41.82185161377397),609876,"DAVIS, N","3014 W 39th Pl, 60632",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.7002021606,41.821851615
POINT (-87.71735342363266 41.74507775134669),609879,DAWES,"3810 W 81st Pl, 60652",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.7173534238,41.7450777522
POINT (-87.7046185932244 42.00928855699754),609880,DECATUR,"7030 N Sacramento Ave, 60645",ES,"K, 1, 2, 3, 4, 5, 6",District,-87.7046185928,42.0092885575
POINT (-87.62334458926513 41.76249026346902),609883,DENEEN,"7240 S Wabash Ave, 60619",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.6233445891,41.7624902646
POINT (-87.81313152528315 41.94255166950198),609884,DEVER,"3436 N Osceola Ave, 60634",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.8131315249,41.9425516699
POINT (-87.6426515784289 41.79564568303255),609885,DEWEY,"5415 S Union Ave, 60609",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.6426515781,41.7956456838
POINT (-87.6099788745453 41.74366924135812),609887,DIXON,"8306 S Saint Lawrence Ave, 60619",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.6099788751,41.7436692422
POINT (-87.70379373490441 41.88918417490289),609888,DODGE,"431 N Troy St, 60612",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.7037937354,41.8891841757
POINT (-87.61227454299049 41.83112062833841),609891,DOOLITTLE,"535 E 35th St, 60616",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.6122745425,41.8311206292
POINT (-87.78760442131032 41.78095446341107),609893,DORE,"6108 S Natoma Ave, 60638",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.7876044214,41.7809544643
POINT (-87.6285534465876 41.84404331209266),609894,DRAKE,"2710 S Dearborn St, 60616",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.6285534468,41.8440433133
POINT (-87.63016447885606 41.725609215693005),609895,TURNER-DREW,"9300 S Princeton Ave, 60620",ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.6301644792,41.7256092162
