SCHOOL_ID,the_geom,SCHOOL_NM,SCH_ADDR,GRADE_CAT,GRADES,SCH_TYPE,X,Y
400028,POINT (-87.61685177508333 41.68443323199442),CICS - PRAIRIE,"11530 S PRAIRIE AVE, 60628",ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",Charter,-87.616851775,41.6844332328
400029,POINT (-87.6221051132182 41.783616344214664),CICS - WASHINGTON PARK,"6105 S MICHIGAN AVE, 60637",ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",Charter,-87.6221051133,41.7836163451
400030,POINT (-87.7767852700999 41.921686760609816),CICS - WEST BELDEN,"2245 N MCVICKER AVE, 60639",ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",Charter,-87.7767852699,41.9216867615
400031,POINT (-87.69257776273258 41.74536598659973),CICS - WRIGHTWOOD,"8130 S CALIFORNIA AVE, 60652",ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",Charter,-87.6925777628,41.7453659877
400032,POINT (-87.66898023136514 41.74840984682328),CICS - ELLISON,"1817 W 80TH ST, 60620",HS,"9, 10, 11, 12",Charter,-87.6689802314,41.7484098476
400033,POINT (-87.65576875442159 41.721248870905235),CICS - LONGWOOD,"1309 W 95TH ST, 60643",HS,"3, 4, 5, 6, 7, 8, 9, 10, 11, 12",Charter,-87.6557687544,41.7212488719
400034,POINT (-87.72650366327599 41.99021757344067),CICS - NORTHTOWN,"3900 W PETERSON AVE, 60659",HS,"9, 10, 11, 12",Charter,-87.7265036635,41.9902175745
400035,POINT (-87.67478186059083 42.013034611331754),CHGO MATH & SCI ACAD CAMPUS HS,"7212 N CLARK ST, 60626",HS,"6, 7, 8, 9, 10, 11, 12",Charter,-87.6747818606,42.0130346122
400036,POINT (-87.64973577863492 41.88055086840076),CHICAGO VIRTUAL CHTR CAMPUS HS,"38 S PEORIA ST, 60607",HS,"K, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12",Charter,-87.6497357785,41.8805508693
400038,POINT (-87.72505872255059 41.86495161866148),COMMUNITY SERVICES WEST,"1239 S PULASKI RD, 60623",HS,"11, 12",Alternative/Contract,-87.7250587224,41.8649516199
400039,POINT (-87.69440116024101 41.90677154402938),ERIE CHTR CAMPUS,"1405 N WASHTENAW AVE, 60622",ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",Charter,-87.6944011601,41.9067715449
400040,POINT (-87.72631369908494 41.86701365053973),FRAZIER CHTR,"4027 W GRENSHAW ST, 60624",ES,"PE, PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Charter,-87.7263136992,41.8670136517
400041,POINT (-87.72195858929159 41.897285584367935),GALAPAGOS CHTR CAMPUS,"3814 W IOWA ST, 60651",ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",Charter,-87.7219585893,41.8972855851
400042,POINT (-87.71056332660218 41.86931199216451),FORD CHTR HS,"931 S HOMAN AVE, 60624",HS,"11, 12",Charter,-87.7105633261,41.8693119931
400043,POINT (-87.66807610854497 41.88333459156399),HOPE CONTR ES,"1628 W WASHINGTON BLVD, 60612",ES,"K, 1, 2, 3, 4, 5",Contract,-87.6680761082,41.8833345926
400044,POINT (-87.72126297246537 41.858387123095625),KIPP ASCEND CHTR CAMPUS,"1616 S AVERS AVE, 60623",ES,"K, 1, 2, 3, 5, 6, 7, 8",Charter,-87.7212629723,41.8583871239
400045,POINT (-87.631057513666 41.698013049045855),NKRUMAH CONTR,"314 W 108TH ST, 60628",ES,"K, 1, 2, 3, 4, 5, 6",Charter,-87.6310575134,41.69801305
400046,POINT (-87.7106427829184 41.867273509765546),LEARN CHTR - BUTLER,"1132 S HOMAN AVE, 60624",ES,"PE, PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Charter,-87.7106427824,41.8672735104
400047,POINT (-87.69870200860234 41.87786112419021),LEARN CHTR - CAMPBELL,"212 S FRANCISCO AVE, 60612",ES,"K, 1, 2, 3, 4, 5",Charter,-87.6987020082,41.8778611254
400048,POINT (-87.68628988199816 41.874940359009),LEARN CHTR - EXCEL,"2401 W CONGRESS PKWY, 60612",ES,"K, 1, 2, 3, 4, 5",Charter,-87.6862898817,41.87494036
400049,POINT (-87.73046974458688 41.856907142183815),LEGACY CHTR CAMPUS,"4217 W 18TH ST, 60623",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Charter,-87.7304697444,41.8569071431
400050,POINT (-87.66776071892492 41.825699046182564),NAMASTE CHTR CAMPUS,"3737 S PAULINA ST, 60609",ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",Charter,-87.6677607184,41.8256990471
400051,POINT (-87.66259105781475 41.90019103153071),NOBLE STREET CHTR - NOBLE,"1010 N NOBLE ST, 60642",HS,"9, 10, 11, 12",Charter,-87.6625910578,41.9001910326
400052,POINT (-87.6045981286855 41.76525442396516),NOBLE STREET CHTR - COMER,"7131 S SOUTH CHICAGO AVE, 60619",HS,"6, 7, 8, 9, 10, 11, 12",Charter,-87.6045981284,41.7652544247
400053,POINT (-87.66448223497049 41.895254757261704),NOBLE STREET CHTR - GOLDER,"1454 W SUPERIOR ST, 60642",HS,"9, 10, 11, 12",Charter,-87.6644822349,41.8952547584
400054,POINT (-87.73012683121111 41.91524154830574),NOBLE STREET CHTR - PRITZKER,"4131 W CORTLAND ST, 60639",HS,"9, 10, 11, 12",Charter,-87.7301268308,41.9152415495
400055,POINT (-87.66085955323703 41.89245244842868),NOBLE STREET CHTR - RAUNER,"1337 W OHIO ST, 60642",HS,"9, 10, 11, 12",Charter,-87.6608595533,41.8924524492
400056,POINT (-87.71804729962862 41.89538969719753),NOBLE STREET CHTR - ROWE CLARK,"3645 W CHICAGO AVE, 60651",HS,"9, 10, 11, 12",Charter,-87.7180472995,41.8953896979
400057,POINT (-87.67614762916996 41.86581671169455),NOBLE STREET CHTR - UIC,"1231 S DAMEN AVE, 60608",HS,"9, 10, 11, 12",Charter,-87.6761476293,41.8658167128
400058,POINT (-87.70795224274201 41.85851912981579),NTH LAWNDALE CHTR - CHRISTIANA,"1616 S SPAULDING AVE, 60623",HS,"9, 10, 11, 12",Charter,-87.7079522423,41.8585191308
400059,POINT (-87.70207760877514 41.86414328087339),NTH LAWNDALE CHTR - COLLINS,"1313 S SACRAMENTO DR, 60623",HS,"9, 10, 11, 12",Charter,-87.7020776088,41.8641432818
400060,POINT (-87.67116117278817 41.983398870971996),ASIAN HUMAN SERVICES CHTR - PASSAGES,"1643 W BRYN MAWR AVE, 60660",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Charter,-87.6711611724,41.9833988719
400061,POINT (-87.65232813699377 41.745934627619164),PERSPECTIVES CHTR - LEADERSHIP ACADEMY,"8131 S MAY ST, 60620",HS,"6, 7, 8, 9, 10, 11, 12",Charter,-87.652328137,41.7459346284
400062,POINT (-87.65232813699377 41.745934627619164),PERSPECTIVES CHTR - CALUMET TECH,"8131 S MAY ST, 60620",HS,"9, 10, 11, 12",Charter,-87.652328137,41.7459346284
400064,POINT (-87.62851098909876 41.85597605135273),PERSPECTIVES CHTR - JOSLIN,"1930 S ARCHER AVE, 60616",HS,"6, 7, 8, 9, 10, 11, 12",Charter,-87.628510989,41.8559760522
400066,POINT (-87.62482440591033 41.82778341221147),PERSPECTIVES CHTR - IIT,"3663 S WABASH AVE, 60653",HS,"6, 7, 8, 9, 10, 11, 12",Charter,-87.6248244058,41.8277834131
400068,POINT (-87.76333753300261 41.87278786602588),PLATO CONTR,"5545 W HARRISON ST, 60644",ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",Contract,-87.7633375329,41.8727878671
400069,POINT (-87.70775975733338 41.89255082663941),POLARIS CHTR CAMPUS,"620 N SAWYER AVE, 60624",ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",Charter,-87.7077597569,41.8925508279
400070,POINT (-87.66374073470162 41.902897090561304),PROLOGUE HS,"1135 N CLEAVER ST, 60642",HS,"9, 10, 11, 12",Alternative/Contract,-87.6637407341,41.9028970914
400071,POINT (-87.66403248019715 41.77536674937238),PROVIDENCE CHTR - BUNCHE,"6515 S ASHLAND AVE, 60636",ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",Charter,-87.6640324796,41.7753667505
400072,POINT (-87.60029119542388 41.75245803966325),SHABAZZ CHTR - SHABAZZ,"7823 S ELLIS AVE, 60619",ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",Charter,-87.6002911949,41.7524580408
400073,POINT (-87.62441056233249 41.804558780827),SHABAZZ CHTR - DUSABLE,"4934 S WABASH AVE, 60615",HS,"10, 11, 12",Charter,-87.6244105618,41.8045587818
400074,POINT (-87.66760236054476 41.767390676155394),SHABAZZ CHTR - SIZEMORE,"6936 S HERMITAGE AVE, 60636",ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",Charter,-87.6676023602,41.7673906771
400075,POINT (-87.60851429057409 41.827751594719054),UNIV OF CHGO CHTR - DONOGHUE,"707 E 37TH ST, 60653",ES,"PK, K, 1, 2, 3, 4, 5",Charter,-87.6085142903,41.8277515953
400076,POINT (-87.59851990265834 41.81138911860509),UNIV OF CHGO CHTR - NKO,"1119 E 46TH ST, 60653",ES,"PK, K, 1, 2, 3, 4, 5",Charter,-87.5985199021,41.8113891194
400077,POINT (-87.5980804458576 41.77811850444138),UNIV OF CHGO CHTR - WOODLAWN,"6420 S UNIVERSITY AVE, 60637",HS,"6, 7, 8, 9, 10, 11, 12",Charter,-87.5980804453,41.7781185054
400078,POINT (-87.60836253271103 41.81361483466629),UNIV OF CHGO CHTR - WOODSON,"4444 S EVANS AVE, 60653",MS,"6, 7, 8",Charter,-87.6083625326,41.8136148354
400079,POINT (-87.7303591389066 41.80784006864377),UNO CHTR - SPC DANIEL ZIZUMBO,"4248 W 47TH ST, 60632",ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",Charter,-87.7303591387,41.8078400696
400080,POINT (-87.7303591389066 41.80784006864377),UNO CHTR - PFC OMAR E.TORRES,"4248 W 47TH ST, 60632",ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",Charter,-87.7303591387,41.8078400696
400081,POINT (-87.66794974743077 41.8595314461425),UNO CHTR - DE LAS CASAS,"1641 W 16TH ST, 60608",ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",Charter,-87.6679497475,41.8595314471
400082,POINT (-87.69959378008348 41.9375032170638),UNO CHTR - FUENTES,"2845 W BARRY AVE, 60618",ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",Charter,-87.6995937796,41.9375032181
400083,POINT (-87.69255160626372 41.85006284889693),UNO CHTR - PAZ,"2651 W 23RD ST, 60608",ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",Charter,-87.6925516063,41.8500628499
400084,POINT (-87.69389830257052 41.79992964544289),UNO CHTR - TAMAYO,"5135 S CALIFORNIA AVE, 60632",ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",Charter,-87.6938983024,41.7999296462
400085,POINT (-87.7303591389066 41.80784006864377),UNO CHTR - MAJOR HECTOR P.GARCIA,"4248 W 47TH ST, 60632",HS,"9, 10, 11, 12",Charter,-87.7303591387,41.8078400696
400086,POINT (-87.6350153384833 41.78150518956856),URBAN PREP CHTR - ENGLEWOOD,"6201 S STEWART AVE, 60621",HS,"9, 10, 11, 12",Charter,-87.6350153382,41.7815051905
400087,POINT (-87.61876048823575 41.84454327303708),YNG WOMEN - CHTR CAMPUS,"2641 S CALUMET AVE, 60616",HS,"7, 8, 9, 10, 11, 12",Charter,-87.6187604879,41.8445432742
400089,POINT (-87.69739333341778 41.808281387648286),UNO CHTR - MARQUEZ,"2916 W 47TH ST, 60632",ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",Charter,-87.6973933329,41.8082813887
400091,POINT (-87.65909601911399 41.863328835327074),CHICAGO TECH ACADEMY,"1301 W 14TH ST, 60608",HS,"9, 10, 11, 12",Contract,-87.6590960187,41.8633288362
400092,POINT (-87.60500292697886 41.653667574406164),CICS - LLOYD BOND,"13300 S LANGLEY AVE, 60827",ES,"K, 1, 2, 3, 4, 5, 6",Charter,-87.605002927,41.6536675752
400093,POINT (-87.68324895425825 41.87752873326511),CHGO TALENT CHTR HS,"2245 W JACKSON BLVD, 60612",HS,"9, 10, 11, 12",Charter,-87.6832489544,41.8775287345
400094,POINT (-87.55025899180147 41.74484818293063),EPIC CHTR HS,"8255 S HOUSTON AVE, 60617",HS,"9, 10, 11, 12",Charter,-87.5502589916,41.7448481839
400096,POINT (-87.66403574131223 41.90779777089421),ROWE,"1424 N CLEAVER ST, 60642",ES,"K, 1, 2, 3, 4, 5, 6",Charter,-87.6640357408,41.9077977718
400097,POINT (-87.67819448573606 41.87878137192427),NOBLE STREET CHTR - CHGO BULLS,"2040 W ADAMS ST, 60612",HS,"9, 10, 11, 12",Charter,-87.6781944858,41.8787813727
400098,POINT (-87.62774111280926 41.882085650428586),NOBLE STREET CHTR - MUCHIN,"1 N STATE ST, 60602",HS,"9, 10, 11, 12",Charter,-87.6277411123,41.8820856512
400101,POINT (-87.69399489530916 41.82285631504549),UNO CHTR  - SANDRA CISNEROS,"2744 W PERSHING RD, 60632",ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",Charter,-87.693994895,41.822856316
400102,POINT (-87.66010572037113 41.862512583645135),URBAN PREP CHTR - WEST,"1326 W 14TH PL, 60608",HS,"9, 10, 11, 12",Charter,-87.6601057199,41.8625125845
400104,POINT (-87.68554721958874 41.84596532973772),INSTITUTO ACAD CHTR HEALTH,"2520 S WESTERN AVE, 60608",HS,"9, 10, 11, 12",Charter,-87.6855472198,41.8459653309
400105,POINT (-87.6285167495126 41.84404357849296),URBAN PREP CHTR - BRONZEVILLE,"2710 S DEARBORN ST, 60616",HS,"9, 10, 11, 12",Charter,-87.6285167495,41.8440435794
400106,POINT (-87.63508004407043 41.77837005257329),NOBLE STREET CHTR - JOHNSON,"6350 S STEWART AVE, 60621",HS,"9, 10, 11, 12",Charter,-87.6350800439,41.7783700534
400107,POINT (-87.54444181708068 41.733329655443974),LEARN CHRT - SO CHICAGO,"8914 S BUFFALO AVE, 60617",ES,"K, 1, 2, 3, 4, 5, 6",Charter,-87.544441817,41.7333296562
400108,POINT (-87.60188560093505 41.65316689748682),CICS - HAWKINS,"801 E 133RD PL, 60827",HS,"7, 8, 9, 10, 11, 12",Charter,-87.601885601,41.6531668985
400109,POINT (-87.66241631445855 41.72116389208515),PROLOGUE-JOHNSTON CHTR HS,"1551 W 95TH ST, 60643",HS,"9, 10, 11, 12",Alternative/Charter,-87.6624163139,41.7211638931
400111,POINT (-87.66572043571172 41.74309433144284),LEARN CHTR - HUNTER PERKINS,"1700 W 83RD ST, 60620",ES,"K, 1, 2, 3, 4, 5",Charter,-87.6657204357,41.7430943325
400112,POINT (-87.70876013273235 41.801043389958764),UNO CHTR - 51ST - HOMAN,"5050 S HOMAN AVE, 60632",ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",Charter,-87.708760133,41.8010433907
400113,POINT (-87.64559391431811 41.90780970734505),CHICAGO QUEST NORTH,"1443 N OGDEN AVE, 60610",HS,"6, 7, 8, 9, 10, 11",Charter,-87.6455939145,41.9078097085
400114,POINT (-87.68989506265471 41.90031619615703),UNO CHTR - ST MARKS,"2510 W CORTEZ ST, 60622",ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",Charter,-87.6898950625,41.9003161974
400115,POINT (-87.6931119778269 41.77099145069347),CATALYST CHTR - MARIA,"6727 S CALIFORNIA AVE, 60629",ES,"K, 1, 2, 3, 4, 5, 6, 9, 10, 11, 12",Charter,-87.6931119777,41.7709914514
400116,POINT (-87.67505994789856 41.774164347785366),MONTESSORI CHTR - ENGLEWOOD,"6550 S SEELEY AVE, 60636",ES,"PE, PK, K, 1, 2, 3",Charter,-87.6750599481,41.7741643486
400117,POINT (-87.65095010330478 41.734442305410205),NOBLE STREET CHTR - SILVER HS,"8748 S ABERDEEN ST, 60620",HS,"9, 10",Charter,-87.650950103,41.7344423065
400118,POINT (-87.71056332660218 41.86931199216451),NOBLE STREET CHTR - PURPLE,"931 S HOMAN AVE, 60624",HS,"9, 10",Charter,-87.7105633261,41.8693119931
400119,POINT (-87.73385286747705 41.88189299218779),LEGAL PREP CHTR - ACADEMY,"4319 W WASHINGTON BLVD, 60624",HS,"9, 10",Charter,-87.7338528676,41.881892993
400120,POINT (-87.78779370121414 41.91795212210213),UNO CHTR - NEAR WEST,"2050 N NATCHEZ AVE, 60707",ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",Charter,-87.7877937008,41.9179521229
400121,POINT (-87.68436901353299 42.01647817723564),UNO CHTR - NORTHSIDE,"7416 N RIDGE BLVD, 60645",ES,"K, 1, 2, 3, 4, 5, 6, 7, 8, 9",Charter,-87.684369013,42.0164781781
400123,POINT (-87.74253943099691 41.88047462617311),YCCS CHTR - COMMUNITY SERVICE,"4651 W MADISON ST, 60644",HS,"10, 11, 12",Alternative/Charter,-87.7425394307,41.8804746269
400124,POINT (-87.62529408018034 41.84133168996008),YCCS CHTR - MCKINLEY,"2920 S WABASH AVE, 60616",HS,"10, 11, 12",Alternative/Charter,-87.6252940796,41.8413316907
400125,POINT (-87.72707664347045 41.937916668946),YCCS CHTR - ASPIRA PANTOJA,"3121 N PULASKI RD, 60641",HS,"10, 11, 12",Alternative/Charter,-87.7270766433,41.93791667
400126,POINT (-87.7068231621906 41.90157307605526),YCCS CHTR - ASSOCIATION HOUSE,"1116 N KEDZIE AVE, 60651",HS,"10, 11, 12",Alternative/Charter,-87.706823162,41.901573077
400127,POINT (-87.76022072925593 41.89494895057787),YCCS CHTR - AUSTIN CAREER,"5352 W CHICAGO AVE, 60651",HS,"10, 11, 12",Alternative/Charter,-87.7602207289,41.8949489515
400128,POINT (-87.72506638931903 41.86519734080058),YCCS CHTR - CCA ACADEMY,"1231 S PULASKI RD, 60623",HS,"10, 11, 12",Alternative/Charter,-87.7250663893,41.8651973415
400129,POINT (-87.61651397121572 41.80933055394132),YCCS CHTR - HOUSTON,"4701 S DR MARTIN LUTHER KING JR DR, 60615",HS,"10, 11, 12",Alternative/Charter,-87.6165139711,41.8093305545
400130,POINT (-87.6416945468286 41.75137760976852),YCCS CHTR - YOUTH DEVELOPMENT,"7836 S UNION AVE, 60620",HS,"10, 11, 12",Alternative/Charter,-87.6416945466,41.7513776107
400131,POINT (-87.69600635432589 41.90287713689845),YCCS CHTR - CAMPOS,"2739 W DIVISION ST, 60622",HS,"10, 11, 12",Alternative/Charter,-87.6960063538,41.9028771381
400133,POINT (-87.63199087534049 41.81181763388777),YCCS CHTR - INNOVATIONS,"220 W 45TH PL, 60609",HS,"10, 11, 12",Alternative/Charter,-87.6319908756,41.8118176351
400134,POINT (-87.64485127111948 41.857208105016625),YCCS CHTR - ADDAMS,"1814 S UNION AVE, 60616",HS,"10, 11",Alternative/Charter,-87.6448512709,41.8572081061
400135,POINT (-87.69546670684353 41.854663930125206),YCCS CHTR - LATINO YOUTH,"2001 S CALIFORNIA AVE, 60608",HS,"10, 11, 12",Alternative/Charter,-87.6954667067,41.8546639314
400136,POINT (-87.59236891699253 41.712928178065226),YCCS CHTR - OLIVE HARVEY,"10001 S WOODLAWN AVE, 60628",HS,"10, 11",Alternative/Charter,-87.5923689168,41.7129281787
400137,POINT (-87.59933939395185 41.80966805658471),LITTLE BLACK PEARL,"1060 E 47TH ST, 60653",HS,"9, 10, 11, 12",Alternative/Contract,-87.599339394,41.8096680575
400139,POINT (-87.57846626292833 41.74630634323354),YCCS CHTR - SULLIVAN,"8164 S SOUTH CHICAGO AVE, 60617",HS,"10, 11, 12",Alternative/Charter,-87.5784662626,41.7463063441
400141,POINT (-87.65924059876082 41.965322239839985),YCCS CHTR - TRUMAN,"1145 W WILSON AVE, 60640",HS,"10, 11, 12",Alternative/Charter,-87.6592405988,41.9653222405
400142,POINT (-87.67413755499503 41.87628929263673),YCCS CHTR - VIRTUAL,"1900 W VAN BUREN ST, 60612",HS,"10, 11, 12",Alternative/Charter,-87.6741375552,41.8762892937
400143,POINT (-87.70201634882268 41.89080646431092),YCCS CHTR - WEST TOWN,"500 N SACRAMENTO BLVD, 60612",HS,"10, 11, 12",Alternative/Charter,-87.7020163485,41.8908064654
400144,POINT (-87.74881069436572 41.90226747226793),YCCS CHTR - WESTSIDE HOLISTIC,"4909 W DIVISION ST, 60651",HS,"10, 11, 12",Alternative/Charter,-87.7488106944,41.9022674733
400145,POINT (-87.62674478235938 41.83207163396741),YCCS CHTR - COMMUNITY ACADEMY,"3424 S STATE ST, 60616",HS,"10, 11, 12",Alternative/Charter,-87.6267447823,41.8320716351
400146,POINT (-87.74721567984683 41.892201999683266),KIPP CREATE,"4837 W ERIE ST, 60644",ES,"5, 6",Charter,-87.7472156799,41.8922020005
400147,POINT (-87.65446453340985 41.69215764092904),CHICAGO EXCEL CONTR ACAD,"1259 W 111TH ST, 60643",HS,"9, 10, 11, 12",Alternative/Contract,-87.6544645334,41.6921576421
400148,POINT (-87.68404813404001 41.845421618782154),INSTITUTO JUSTICE CHTR ACAD,"2570 S BLUE ISLAND AVE, 60608",HS,"10, 11, 12",Alternative/Charter,-87.6840481341,41.8454216196
400150,POINT (-87.60701653710109 41.730130932341005),YCCS CHTR - CHATHAM,"9035 S LANGLEY AVE, 60619",HS,"10, 11, 12",Alternative/Charter,-87.6070165368,41.7301309334
400151,POINT (-87.70216585147205 41.88751635908656),LEARN CHTR - 7,"3021 W CARROLL AVE, 60612",ES,"K, 1, 2, 3",Charter,-87.7021658512,41.8875163602
400153,POINT (-87.69320171072764 41.81311001793099),UNO CHTR - IMMACULATE CONCEPTION,"4420 S FAIRFIELD AVE, 60632",ES,"K, 1, 2, 3, 4, 5, 6, 7",Charter,-87.6932017107,41.8131100189
400156,POINT (-87.60306435433851 41.70744607420297),NOBLE STREET CHTR - PULLMAN COLLEGE PREP,"821 E 103RD ST, 60628",HS,9,Charter,-87.6030643541,41.7074460753
400157,POINT (-87.5577592346045 41.73370609270685),NOBLE STREET CHTR - BAKER COLLEGE PREP,"2710 E 89TH ST, 60617",HS,9,Charter,-87.5577592347,41.7337060939
